,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
0,AAPL250214C00100000,2025-02-10 20:09:08+00:00,100.0,127.9,127.35,128.15,-2.0499954,-1.5775263,5.0,0,2.816409208984375,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
1,AAPL250214C00130000,2025-02-07 16:53:37+00:00,130.0,98.87,97.35,98.2,0.0,0.0,15.0,15,2.0273486816406248,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
2,AAPL250214C00140000,2025-02-07 17:34:59+00:00,140.0,88.52,87.35,88.2,0.0,0.0,36.0,0,1.78515732421875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
3,AAPL250214C00145000,2025-02-07 17:54:27+00:00,145.0,83.43,82.5,83.0,0.0,0.0,5.0,4,1.62109564453125,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
4,AAPL250214C00150000,2025-02-07 18:00:39+00:00,150.0,78.85,77.5,78.2,0.0,0.0,72.0,6,1.65625171875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
5,AAPL250214C00155000,2025-02-07 17:14:21+00:00,155.0,74.15,72.5,73.2,0.0,0.0,2.0,2,1.541017919921875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
6,AAPL250214C00160000,2025-02-07 17:14:42+00:00,160.0,69.29,67.5,68.15,0.0,0.0,10.0,10,1.400393623046875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
7,AAPL250214C00165000,2025-02-03 17:10:19+00:00,165.0,61.21,62.55,63.15,0.0,0.0,4.0,1,1.3183627832031248,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
8,AAPL250214C00170000,2025-02-07 15:17:28+00:00,170.0,60.27,57.5,58.2,0.0,0.0,4.0,170,1.2109414453124998,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
9,AAPL250214C00175000,2025-02-07 18:19:29+00:00,175.0,54.27,52.4,53.15,0.0,0.0,4.0,20,1.0312548437500002,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
10,AAPL250214C00180000,2025-02-07 20:23:42+00:00,180.0,48.4,47.5,48.25,0.0,0.0,11.0,21,1.021489267578125,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
11,AAPL250214C00185000,2025-02-07 20:13:01+00:00,185.0,43.55,42.5,43.2,0.0,0.0,3.0,20,0.9003916210937499,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
12,AAPL250214C00190000,2025-02-10 17:50:23+00:00,190.0,38.7,37.5,38.2,-4.6499977,-10.726639,1.0,12,0.8007832421875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
13,AAPL250214C00195000,2025-02-07 20:39:41+00:00,195.0,32.95,32.45,33.25,0.0,0.0,14.0,95,0.702151416015625,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
14,AAPL250214C00200000,2025-02-10 20:20:58+00:00,200.0,27.95,27.6,28.2,0.20000076,0.72072345,44.0,279,0.629886513671875,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
15,AAPL250214C00202500,2025-02-10 17:09:17+00:00,202.5,26.4,25.1,25.75,0.6000004,2.325583,3.0,63,0.5898478515625001,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
16,AAPL250214C00205000,2025-02-10 17:38:36+00:00,205.0,23.81,22.6,23.3,0.7199993,3.11823,9.0,380,0.5488326367187502,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
17,AAPL250214C00207500,2025-02-10 17:41:22+00:00,207.5,21.57,20.1,20.8,0.7199993,3.453234,4.0,133,0.5961954443359375,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
18,AAPL250214C00210000,2025-02-10 19:50:48+00:00,210.0,18.32,17.6,18.3,0.40999985,2.289223,169.0,543,0.5376022802734376,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
19,AAPL250214C00212500,2025-02-10 20:22:53+00:00,212.5,15.15,15.15,15.7,-0.7300005,-4.59698,161.0,113,0.45703667968750006,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
20,AAPL250214C00215000,2025-02-10 20:37:17+00:00,215.0,13.05,12.85,13.25,0.0,0.0,115.0,1606,0.40869731933593745,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
21,AAPL250214C00217500,2025-02-10 20:53:08+00:00,217.5,10.33,10.45,10.85,-0.52000046,-4.7926307,105.0,272,0.3657289990234375,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
22,AAPL250214C00220000,2025-02-10 20:58:45+00:00,220.0,8.4,8.3,8.5,-0.20000076,-2.3255901,8817.0,1453,0.32398136962890617,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
23,AAPL250214C00222500,2025-02-10 20:59:52+00:00,222.5,6.25,6.15,6.3,-0.19000006,-2.9503114,188.0,484,0.2912668530273437,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
24,AAPL250214C00225000,2025-02-10 20:59:54+00:00,225.0,4.35,4.25,4.4,-0.3499999,-7.4468074,1431.0,3240,0.27283442016601556,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
25,AAPL250214C00227500,2025-02-10 20:59:38+00:00,227.5,2.75,2.69,2.75,-0.45000005,-14.062501,8052.0,2177,0.25171646728515623,True,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
26,AAPL250214C00230000,2025-02-10 20:59:51+00:00,230.0,1.53,1.49,1.53,-0.47000003,-23.500002,44342.0,9784,0.23706817626953125,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
27,AAPL250214C00232500,2025-02-10 20:59:44+00:00,232.5,0.75,0.74,0.76,-0.39,-34.210526,28398.0,8387,0.22901161621093752,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
28,AAPL250214C00235000,2025-02-10 20:59:59+00:00,235.0,0.34,0.33,0.34,-0.29999998,-46.874996,29641.0,20936,0.225593681640625,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
29,AAPL250214C00237500,2025-02-10 20:59:28+00:00,237.5,0.16,0.15,0.16,-0.20000002,-55.555557,13966.0,9168,0.231452998046875,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Call
