,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
57,AAPL250214P00100000,2025-02-07 15:46:34+00:00,100.0,0.01,0.0,0.01,0.0,0.0,500.0,544,2.1250046874999997,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
58,AAPL250214P00110000,2025-02-07 18:16:02+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,9,1.875000625,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
59,AAPL250214P00120000,2025-02-07 16:30:21+00:00,120.0,0.01,0.0,0.01,0.0,0.0,34.0,168,1.6875015625,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
60,AAPL250214P00130000,2025-02-07 16:00:28+00:00,130.0,0.02,0.0,0.01,0.0,0.0,2.0,1606,1.5000025,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
61,AAPL250214P00140000,2025-02-07 19:50:51+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,1053,1.3125034374999998,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
62,AAPL250214P00145000,2025-02-05 18:02:05+00:00,145.0,0.01,0.0,0.02,0.0,0.0,6.0,78,1.2812535937499998,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
63,AAPL250214P00150000,2025-02-07 19:50:45+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,261,1.125004375,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
64,AAPL250214P00155000,2025-02-07 18:22:06+00:00,155.0,0.01,0.0,0.01,0.0,0.0,50.0,398,1.0312548437500002,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
65,AAPL250214P00160000,2025-02-07 20:52:43+00:00,160.0,0.01,0.0,0.01,0.0,0.0,19.0,715,0.9687503125,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
66,AAPL250214P00165000,2025-02-10 14:30:02+00:00,165.0,0.01,0.0,0.01,0.0,0.0,6.0,823,0.87500125,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
67,AAPL250214P00170000,2025-02-10 14:42:09+00:00,170.0,0.01,0.0,0.01,-0.01,-50.0,1.0,1793,0.8125018749999999,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
68,AAPL250214P00175000,2025-02-10 20:47:02+00:00,175.0,0.01,0.0,0.01,-0.02,-66.66667,723.0,1991,0.7187528125,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
69,AAPL250214P00180000,2025-02-10 20:59:32+00:00,180.0,0.01,0.0,0.02,-0.02,-66.66667,196.0,1320,0.70312796875,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
70,AAPL250214P00185000,2025-02-10 20:48:48+00:00,185.0,0.02,0.01,0.03,-0.02,-50.0,393.0,1406,0.6718782812500002,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
71,AAPL250214P00190000,2025-02-10 18:37:53+00:00,190.0,0.01,0.01,0.04,-0.03,-75.0,606.0,1811,0.6054726953125001,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
72,AAPL250214P00195000,2025-02-10 20:35:47+00:00,195.0,0.03,0.02,0.04,-0.03,-50.0,942.0,6857,0.5390671093750001,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
73,AAPL250214P00200000,2025-02-10 20:59:18+00:00,200.0,0.03,0.03,0.04,-0.060000002,-66.666664,2286.0,8191,0.476567734375,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
74,AAPL250214P00202500,2025-02-10 20:58:20+00:00,202.5,0.04,0.04,0.05,-0.060000002,-60.0,183.0,743,0.44727115234375,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
75,AAPL250214P00205000,2025-02-10 20:48:13+00:00,205.0,0.06,0.05,0.06,-0.06999999,-53.84615,575.0,1920,0.41797457031249996,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
